Tectonic regime,Lithology,Structural setting,Gross,Netpay,Porosity,Permeability,Depth,Oil density,Oil recovery factor,NGE
COMPRESSION,SANDSTONE,INTRACRATONIC,36.0,5.3,14.0,13.5,993.0,842.2619047619047,0.33,0.14722222222222223
STRIKE-SLIP,DOLOMITIC LIMESTONE,INTRACRATONIC,120.0,30.0,8.0,8.0,780.0,779.6143250688707,0.21,0.25
EXTENSION,SANDSTONE,RIFT,90.0,60.0,20.0,500.0,2544.0,844.7761194029849,0.48,0.6666666666666666
COMPRESSION,SANDSTONE,FORELAND,30.0,4.2,13.5,250.0,1650.0,819.8146002317498,0.47,0.14
COMPRESSION,CHALKY LIMESTONE,THRUST,127.5,72.9,17.930090497737563,4.0,344.4,834.8082595870205,0.4,0.571764705882353
INVERSION,SANDSTONE,FORELAND,27.0,14.1,16.8,50.0,906.0,827.485380116959,0.46,0.5222222222222223
GRAVITY,LIMESTONE,SALT,75.0,11.4,11.0,61.0,3668.7,771.1171662125341,0.5,0.152
COMPRESSION,DOLOMITE,FORELAND,390.0,120.0,4.0,0.4,1740.0,844.7761194029849,0.15,0.3076923076923077
COMPRESSION,SILTSTONE,FORELAND,90.0,30.0,11.0,16.0,780.0,839.7626112759642,0.38,0.3333333333333333
GRAVITY,SANDSTONE,PASSIVE MARGIN,135.0,45.0,24.0,500.0,919.5,854.9848942598187,0.46,0.3333333333333333
EXTENSION,SANDSTONE,SUB-SALT,690.0,135.0,17.0,236.0,3116.4,892.7444794952681,0.45,0.1956521739130435
STRIKE-SLIP,SANDSTONE,INVERSION,738.0,66.0,20.0,45.0,1056.0,839.7626112759642,0.31,0.08943089430894309
EXTENSION,SANDSTONE,RIFT,34.5,29.4,18.0,500.0,2191.8,815.5619596541786,0.49,0.8521739130434782
COMPRESSION,SANDSTONE,THRUST,90.0,48.0,13.0,35.0,3045.0,849.8498498498496,0.34,0.5333333333333333
GRAVITY,LIMESTONE,SALT,195.0,84.0,25.0,800.0,1734.3,933.993399339934,0.19,0.4307692307692308
COMPRESSION,LIMESTONE,RIFT,255.9,24.6,17.930090497737563,10.0,1663.8,834.8082595870205,0.2,0.09613130128956623
COMPRESSION,DOLOMITE,FORELAND,390.0,60.0,11.0,10.0,1965.0,860.1823708206688,0.39,0.15384615384615385
COMPRESSION,SANDSTONE,FORELAND,21.0,6.0,20.0,36.0,1290.0,815.5619596541786,0.58,0.2857142857142857
COMPRESSION,SANDSTONE,FORELAND,25.5,3.8,12.0,120.0,1140.0,844.7761194029849,0.38,0.14901960784313725
COMPRESSION,SANDSTONE,FORELAND,15.0,5.8,13.9,24.0,1200.0,839.7626112759642,0.18,0.38666666666666666
STRIKE-SLIP,SANDSTONE,THRUST,600.0,300.0,25.0,100.0,630.0,904.1533546325877,0.14,0.5
COMPRESSION,DOLOMITE,FORELAND,120.0,35.4,11.0,3.0,975.0,829.9120234604104,0.4,0.295
COMPRESSION,SANDSTONE,RIFT,90.0,60.0,17.930090497737563,4000.0,2032.8,839.7626112759642,0.8,0.6666666666666666
